date,source,leads,conversion_rate,revenue
2026-03-01,Google Ads,120,0.15,3600
2026-03-01,Facebook Ads,90,0.12,2200
2026-03-01,Organic,200,0.18,5000
2026-03-02,Google Ads,140,0.16,4200
2026-03-02,Facebook Ads,80,0.10,2000
2026-03-02,Organic,220,0.20,5600
2026-03-03,Google Ads,130,0.14,3900
2026-03-03,Facebook Ads,70,0.09,1800
2026-03-03,Organic,210,0.19,5300
2026-03-04,Google Ads,150,0.17,4500
2026-03-04,Facebook Ads,60,0.08,1500
2026-03-04,Organic,230,0.21,6000
2026-03-05,Google Ads,160,0.18,4800
2026-03-05,Facebook Ads,55,0.07,1400
2026-03-05,Organic,240,0.22,6300
2026-03-06,Google Ads,170,0.19,5100
2026-03-06,Facebook Ads,50,0.06,1300
2026-03-06,Organic,250,0.23,6600
2026-03-07,Google Ads,180,0.20,5400
2026-03-07,Facebook Ads,45,0.05,1200
2026-03-07,Organic,260,0.24,7000
